refno,PCON11CD,Constituency,Estimated Leave proportion,Known result,Figure to use,Notes,Region,Errors,
540,E14000975,Stone,0.5804241671,NA,0.5804241671,,West Midlands,#VALUE!,
254,E14000705,Forest of Dean,0.5806625702,NA,0.5806625702,,South West,#VALUE!,
176,E14000658,Darlington,0.5806846735,NA,0.5806846735,,North East,#VALUE!,
392,E14000812,Meriden,0.5808594959,NA,0.5808594959,,West Midlands,#VALUE!,
380,E14000800,Luton North,0.5821161422,NA,0.5821161422,,East of England,#VALUE!,
360,E14000940,South Leicestershire,0.5821654142,NA,0.5821654142,,East Midlands,#VALUE!,
247,E14000700,Faversham and Mid Kent,0.5822255926,NA,0.5822255926,,South East,#VALUE!,
7,E14000530,Aldershot,0.582306762,NA,0.582306762,,South East,#VALUE!,
640,E14000992,The Wrekin,0.5824790771,NA,0.5824790771,,West Midlands,#VALUE!,
307,E14000847,North Herefordshire,0.5825016186,NA,0.5825016186,,West Midlands,#VALUE!,
422,E14000848,North Norfolk,0.5825388155,NA,0.5825388155,,East of England,#VALUE!,
492,E14000962,St Helens North,0.582912107,NA,0.582912107,,North West,#VALUE!,
136,E14000625,Charnwood,0.5829449052,NA,0.5829449052,,East Midlands,#VALUE!,
483,E14000905,Rugby,0.5836766023,NA,0.5836766023,,West Midlands,#VALUE!,
393,W07000071,Merthyr Tydfil and Rhymney,0.5840374391,NA,0.5840374391,,Wales,#VALUE!,
168,E14000652,Crawley,0.584136714,0.584136714,0.584136714,,South East,0,
531,E14000967,Stalybridge and Hyde,0.5852177268,NA,0.5852177268,,North West,#VALUE!,
379,E14000799,Ludlow,0.5858418541,NA,0.5858418541,,West Midlands,#VALUE!,
480,E14000902,Rossendale and Darwen,0.5859130289,NA,0.5859130289,,North West,#VALUE!,
44,E14000949,South West Bedfordshire,0.5861080917,NA,0.5861080917,,East of England,#VALUE!,
270,E14000712,Gloucester,0.5861326181,NA,0.5861326181,,South West,#VALUE!,
599,E14001017,Warrington North,0.5864758174,NA,0.5864758174,,North West,#VALUE!,
166,E14000650,Coventry North West,0.5867347043,NA,0.5867347043,,West Midlands,#VALUE!,
471,E14000894,Ribble Valley,0.5868051438,NA,0.5868051438,,North West,#VALUE!,
178,E14000660,Daventry,0.5875854112,NA,0.5875854112,,East Midlands,#VALUE!,
53,E14000556,Beverley and Holderness,0.5878960886,NA,0.5878960886,,Yorkshire and The Humber,#VALUE!,
336,W07000077,Islwyn,0.5886667507,NA,0.5886667507,,Wales,#VALUE!,
404,E14000825,Morecambe and Lunesdale,0.5891294279,NA,0.5891294279,,North West,#VALUE!,
634,E14000818,Mid Worcestershire,0.5894371379,NA,0.5894371379,,West Midlands,#VALUE!,
499,E14000915,Sedgefield,0.5894880672,NA,0.5894880672,,North East,#VALUE!,
169,E14000653,Crewe and Nantwich,0.5900216001,NA,0.5900216001,,North West,#VALUE!,
165,E14000649,Coventry North East,0.5922586701,NA,0.5922586701,,West Midlands,#VALUE!,
646,E14001060,Yeovil,0.5929247335,NA,0.5929247335,,South West,#VALUE!,
144,E14000632,Chesterfield,0.593187532,NA,0.593187532,,East Midlands,#VALUE!,
583,E14000853,North Tyneside,0.5936533258,NA,0.5936533258,,North East,#VALUE!,
300,E14000737,Hayes and Harlington,0.5940544594,NA,0.5940544594,,London,#VALUE!,
248,E14000701,Feltham and Heston,0.5943219614,NA,0.5943219614,,London,#VALUE!,
511,E14000849,North Shropshire,0.5945746021,NA,0.5945746021,,West Midlands,#VALUE!,
199,E14000936,South Dorset,0.5949281068,NA,0.5949281068,,South West,#VALUE!,
409,E14000827,New Forest East,0.5954240312,NA,0.5954240312,,South East,#VALUE!,
428,E14000862,Northampton South,0.5961124246,NA,0.5961124246,,East Midlands,#VALUE!,
20,E14000536,Ashford,0.596788819,NA,0.596788819,,South East,#VALUE!,
437,W07000074,Ogmore,0.5975247001,NA,0.5975247001,,Wales,#VALUE!,
405,E14000826,Morley and Outwood,0.5978587835,NA,0.5978587835,,Yorkshire and The Humber,#VALUE!,
160,E14000647,Copeland,0.5984604808,NA,0.5984604808,,North West,#VALUE!,
150,E14000638,Christchurch,0.5987484443,NA,0.5987484443,,South West,#VALUE!,
73,E14000575,Blyth Valley,0.5988035794,NA,0.5988035794,,North East,#VALUE!,
523,E14000955,"Southampton, Itchen",0.5995870197,NA,0.5995870197,,South East,#VALUE!,
1,W07000049,Aberavon,0.5996545077,NA,0.5996545077,,Wales,#VALUE!,
324,E14000772,Kingston upon Hull North,0.599743353,NA,0.599743353,,Yorkshire and The Humber,#VALUE!,
161,E14000648,Corby,0.60114346,NA,0.60114346,,East Midlands,#VALUE!,
215,E14000840,North Durham,0.6013442628,NA,0.6013442628,,North East,#VALUE!,
306,E14000743,Hereford and South Herefordshire,0.6015169694,NA,0.6015169694,,West Midlands,#VALUE!,
417,W07000055,Newport East,0.6025468491,NA,0.6025468491,,Wales,#VALUE!,
154,W07000062,Clwyd South,0.6025820136,NA,0.6025820136,,Wales,#VALUE!,
527,E14000959,Spelthorne,0.60299599,0.60299599,0.60299599,,South East,0,
636,E14001053,Workington,0.6031954085,NA,0.6031954085,,North West,#VALUE!,
162,E14000837,North Cornwall,0.6032021785,NA,0.6032021785,,South West,#VALUE!,
28,E14000540,Barking,0.6033002338,NA,0.6033002338,,London,#VALUE!,
186,E14000935,South Derbyshire,0.6035100097,0.6035100097,0.6035100097,,East Midlands,0,
37,E14000548,Batley and Spen,0.6035245428,NA,0.6035245428,,Yorkshire and The Humber,#VALUE!,
283,E14000723,Halifax,0.6042243134,NA,0.6042243134,,Yorkshire and The Humber,#VALUE!,
476,E14000899,Rochford and Southend East,0.6045520412,NA,0.6045520412,,East of England,#VALUE!,
130,E14000620,Carlisle,0.6048799932,NA,0.6048799932,,North West,#VALUE!,
421,E14000816,Mid Norfolk,0.6058269069,NA,0.6058269069,,East of England,#VALUE!,
66,E14000569,Bishop Auckland,0.6062241442,NA,0.6062241442,,North East,#VALUE!,
427,E14000861,Northampton North,0.6068557353,NA,0.6068557353,,East Midlands,#VALUE!,
359,E14000858,North West Leicestershire,0.6069847772,0.6069847772,0.6069847772,,East Midlands,0,
81,E14000583,Bosworth,0.6079730392,NA,0.6079730392,,East Midlands,#VALUE!,
626,E14001045,Witham,0.6083046754,NA,0.6083046754,,East of England,#VALUE!,
576,W07000053,Torfaen,0.6088015426,NA,0.6088015426,,Wales,#VALUE!,
93,E14000594,Brentwood and Ongar,0.608936703,NA,0.608936703,,East of England,#VALUE!,
352,E14000778,Leeds East,0.6090851152,NA,0.6090851152,,Yorkshire and The Humber,#VALUE!,
341,E14000769,Kettering,0.6098836886,0.6098836886,0.6098836886,,East Midlands,0,
274,E14000714,Grantham and Stamford,0.6101248691,NA,0.6101248691,,East Midlands,#VALUE!,
239,E14000693,Epping Forest,0.6107376735,NA,0.6107376735,,East of England,#VALUE!,
297,E14000734,Harwich and North Essex,0.6107462742,NA,0.6107462742,,East of England,#VALUE!,
470,W07000052,Rhondda,0.6124288659,NA,0.6124288659,,Wales,#VALUE!,
65,E14000568,"Birmingham, Yardley",0.6129222895,NA,0.6129222895,,West Midlands,#VALUE!,
386,E14000806,Maldon,0.6131394269,NA,0.6131394269,,East of England,#VALUE!,
448,E14000876,Penistone and Stocksbridge,0.6134816363,NA,0.6134816363,,Yorkshire and The Humber,#VALUE!,
497,E14000913,Scarborough and Whitby,0.6136997032,NA,0.6136997032,,Yorkshire and The Humber,#VALUE!,
467,E14000892,Redditch,0.6141973496,NA,0.6141973496,,West Midlands,#VALUE!,
88,E14000590,Braintree,0.614274471,NA,0.614274471,,East of England,#VALUE!,
637,E14001054,Worsley and Eccles South,0.6142883239,NA,0.6142883239,,North West,#VALUE!,
503,E14000921,"Sheffield, Brightside and Hillsborough",0.6143934634,NA,0.6143934634,,Yorkshire and The Humber,#VALUE!,
514,E14000929,Sleaford and North Hykeham,0.6153246901,NA,0.6153246901,,East Midlands,#VALUE!,
182,E14000663,Derby South,0.6161100009,NA,0.6161100009,,East Midlands,#VALUE!,
337,E14000765,Jarrow,0.6161596892,NA,0.6161596892,,North East,#VALUE!,
568,E14000948,South Thanet,0.6163407657,NA,0.6163407657,,South East,#VALUE!,
413,E14000834,Newcastle-under-Lyme,0.6166735906,NA,0.6166735906,,West Midlands,#VALUE!,
598,E14001016,Warley,0.6182570994,NA,0.6182570994,,West Midlands,#VALUE!,
253,E14000704,Folkestone and Hythe,0.6183552232,NA,0.6183552232,,South East,#VALUE!,
180,E14000661,Denton and Reddish,0.6191800479,NA,0.6191800479,,North West,#VALUE!,
333,E14000762,Isle of Wight,0.6194633409,0.6194633409,0.6194633409,,South East,0,
272,E14000713,Gosport,0.6197471542,NA,0.6197471542,,South East,#VALUE!,
591,E14001009,Wakefield,0.6198129368,NA,0.6198129368,,Yorkshire and The Humber,#VALUE!,
71,W07000072,Blaenau Gwent,0.6202804437,0.6202804437,0.6202804437,,Wales,0,
257,E14000707,Gainsborough,0.6203270159,NA,0.6203270159,,East Midlands,#VALUE!,
558,W07000048,Swansea East,0.620992238,NA,0.620992238,,Wales,#VALUE!,
313,E14000747,Heywood and Middleton,0.6215149343,NA,0.6215149343,,North West,#VALUE!,
185,E14000843,North East Derbyshire,0.6217313517,NA,0.6217313517,,East Midlands,#VALUE!,
95,E14000595,Bridgwater and West Somerset,0.6219046456,NA,0.6219046456,,South West,#VALUE!,
299,E14000736,Havant,0.6245058088,NA,0.6245058088,,South East,#VALUE!,
575,E14000999,Torbay,0.6265951073,NA,0.6265951073,,South West,#VALUE!,
86,E14000588,Bradford South,0.6267799737,NA,0.6267799737,,Yorkshire and The Humber,#VALUE!,
618,E14001039,Wigan,0.6271327758,NA,0.6271327758,,North West,#VALUE!,
440,E14000871,Oldham West and Royton,0.6271910457,NA,0.6271910457,,North West,#VALUE!,
522,E14000944,South Shields,0.627933151,NA,0.627933151,,North East,#VALUE!,
451,E14000878,Peterborough,0.6288173193,NA,0.6288173193,,East of England,#VALUE!,
608,E14001025,Wellingborough,0.6293857655,NA,0.6293857655,,East Midlands,#VALUE!,
475,E14000898,Rochester and Strood,0.6310526463,NA,0.6310526463,,South East,#VALUE!,
201,E14000670,Dover,0.6312986991,NA,0.6312986991,,South East,#VALUE!,
644,E14001058,Wyre Forest,0.6314547474,0.6314547474,0.6314547474,,West Midlands,0,
447,E14000875,Pendle,0.631542958,0.631542958,0.631542958,,North West,0,
438,E14000869,Old Bexley and Sidcup,0.6315823144,NA,0.6315823144,,London,#VALUE!,
605,E14001022,Waveney,0.6320988539,NA,0.6320988539,,East of England,#VALUE!,
550,E14001034,West Suffolk,0.6326052758,NA,0.6326052758,,East of England,#VALUE!,
241,E14000695,Erewash,0.633037158,NA,0.633037158,,East Midlands,#VALUE!,
650,E14000683,East Yorkshire,0.633133693,NA,0.633133693,,Yorkshire and The Humber,#VALUE!,
77,E14000579,Bolton South East,0.6342168192,NA,0.6342168192,,North West,#VALUE!,
361,E14000785,Leigh,0.6345288292,NA,0.6345288292,,North West,#VALUE!,
491,E14000961,St Austell and Newquay,0.6350799896,NA,0.6350799896,,South West,#VALUE!,
21,E14000537,Ashton-under-Lyne,0.6354520147,NA,0.6354520147,,North West,#VALUE!,
594,E14001012,Walsall South,0.6364008321,NA,0.6364008321,,West Midlands,#VALUE!,
508,E14000924,Sherwood,0.6376245162,NA,0.6376245162,,East Midlands,#VALUE!,
177,E14000659,Dartford,0.6403580012,NA,0.6403580012,,South East,#VALUE!,
261,E14000711,Gillingham and Rainham,0.6403901929,NA,0.6403901929,,South East,#VALUE!,
74,E14000576,Bognor Regis and Littlehampton,0.6422377605,NA,0.6422377605,,South East,#VALUE!,
529,E14000966,Staffordshire Moorlands,0.6458231542,NA,0.6458231542,,West Midlands,#VALUE!,
110,E14000610,Burton,0.6462413639,NA,0.6462413639,,West Midlands,#VALUE!,
320,E14000754,Houghton and Sunderland South,0.6471321531,NA,0.6471321531,,North East,#VALUE!,
137,E14000626,Chatham and Aylesford,0.6474851595,NA,0.6474851595,,South East,#VALUE!,
435,E14000868,Nuneaton,0.6475463211,NA,0.6475463211,,West Midlands,#VALUE!,
394,E14000819,Middlesbrough,0.649344265,NA,0.649344265,,North East,#VALUE!,
567,E14000852,North Thanet,0.6496979873,NA,0.6496979873,,South East,#VALUE!,
385,E14000805,Makerfield,0.6500090381,NA,0.6500090381,,North West,#VALUE!,
395,E14000820,Middlesbrough South and East Cleveland,0.6500282112,NA,0.6500282112,,North East,#VALUE!,
537,E14000972,Stoke-on-Trent Central,0.6501656311,NA,0.6501656311,,West Midlands,#VALUE!,
55,E14000558,Bexleyheath and Crayford,0.6504957583,NA,0.6504957583,,London,#VALUE!,
541,E14000976,Stourbridge,0.6512021488,NA,0.6512021488,,West Midlands,#VALUE!,
603,E14001020,Washington and Sunderland West,0.6513037396,NA,0.6513037396,,North East,#VALUE!,
11,E14000533,Amber Valley,0.6533921445,NA,0.6533921445,,East Midlands,#VALUE!,
530,E14000945,South Staffordshire,0.6533940992,NA,0.6533940992,,West Midlands,#VALUE!,
275,E14000715,Gravesham,0.6537720795,0.6537720795,0.6537720795,,South East,0,
433,E14000866,Nottingham North,0.6549904627,0.6380805601,0.6380805601,,East Midlands,-0.01690990266,
327,E14000758,Hyndburn,0.6575179215,NA,0.6575179215,,North West,#VALUE!,
512,E14000927,Sittingbourne and Sheppey,0.6576125356,NA,0.6576125356,,South East,#VALUE!,
106,E14000606,Broxbourne,0.6581793055,NA,0.6581793055,,East of England,#VALUE!,
562,E14000986,Tamworth,0.660041137,NA,0.660041137,,West Midlands,#VALUE!,
423,E14000859,North West Norfolk,0.6614050216,NA,0.6614050216,,East of England,#VALUE!,
96,E14000596,Brigg and Goole,0.6620507891,NA,0.6620507891,,Yorkshire and The Humber,#VALUE!,
457,E14000883,Portsmouth North,0.6621672052,NA,0.6621672052,,South East,#VALUE!,
425,E14000952,South West Norfolk,0.6625166752,NA,0.6625166752,,East of England,#VALUE!,
195,E14000668,Doncaster Central,0.6631997578,NA,0.6631997578,,Yorkshire and The Humber,#VALUE!,
282,E14000722,Halesowen and Rowley Regis,0.6634472733,NA,0.6634472733,,West Midlands,#VALUE!,
507,E14000920,Sheffield South East,0.6648992714,NA,0.6648992714,,Yorkshire and The Humber,#VALUE!,
535,E14000970,Stockton North,0.6650023263,NA,0.6650023263,,North East,#VALUE!,
221,E14000677,Easington,0.6657309975,NA,0.6657309975,,North East,#VALUE!,
109,E14000609,Burnley,0.6661279897,0.6661279897,0.6661279897,,North West,0,
69,E14000572,Blackpool North and Cleveleys,0.6685365381,NA,0.6685365381,,North West,#VALUE!,
481,E14000903,Rother Valley,0.668806443,NA,0.668806443,,Yorkshire and The Humber,#VALUE!,
32,E14000544,Basildon and Billericay,0.669165671,NA,0.669165671,,East of England,#VALUE!,
565,E14000989,Telford,0.670579494,NA,0.670579494,,West Midlands,#VALUE!,
303,E14000740,Hemsworth,0.6749755079,NA,0.6749755079,,Yorkshire and The Humber,#VALUE!,
466,E14000891,Redcar,0.6757391852,NA,0.6757391852,,North East,#VALUE!,
612,E14001029,West Bromwich East,0.6759402633,NA,0.6759402633,,West Midlands,#VALUE!,
602,E14000854,North Warwickshire,0.6777035648,NA,0.6777035648,,West Midlands,#VALUE!,
477,E14000900,Romford,0.6777974441,NA,0.6777974441,,London,#VALUE!,
70,E14000573,Blackpool South,0.6780391362,NA,0.6780391362,,North West,#VALUE!,
325,E14000773,Kingston upon Hull West and Hessle,0.6784460334,NA,0.6784460334,,Yorkshire and The Humber,#VALUE!,
463,E14000888,Rayleigh and Wickford,0.6788950925,NA,0.6788950925,,East of England,#VALUE!,
630,E14001049,Wolverhampton North East,0.6793002123,NA,0.6793002123,,West Midlands,#VALUE!,
292,E14000729,Harlow,0.6801852808,NA,0.6801852808,,East of England,#VALUE!,
8,E14000531,Aldridge-Brownhills,0.6802282273,NA,0.6802282273,,West Midlands,#VALUE!,
482,E14000904,Rotherham,0.6821762702,NA,0.6821762702,,Yorkshire and The Humber,#VALUE!,
35,E14000546,Bassetlaw,0.6832485971,NA,0.6832485971,,East Midlands,#VALUE!,
29,E14000541,Barnsley Central,0.6837815879,NA,0.6837815879,,Yorkshire and The Humber,#VALUE!,
153,E14000643,Cleethorpes,0.6841059823,NA,0.6841059823,,Yorkshire and The Humber,#VALUE!,
194,E14000667,Don Valley,0.6855959842,NA,0.6855959842,,Yorkshire and The Humber,#VALUE!,
452,E14000879,"Plymouth, Moor View",0.6879309549,0.6644024004,0.6644024004,,South West,-0.02352855449,
631,E14001050,Wolverhampton South East,0.6884065288,NA,0.6884065288,,West Midlands,#VALUE!,
124,E14000618,Cannock Chase,0.6886035313,0.6886035313,0.6886035313,,West Midlands,0,
498,E14000914,Scunthorpe,0.6908634102,NA,0.6908634102,,Yorkshire and The Humber,#VALUE!,
613,E14001030,West Bromwich West,0.6913566785,NA,0.6913566785,,West Midlands,#VALUE!,
204,E14000671,Dudley North,0.6922548016,NA,0.6922548016,,West Midlands,#VALUE!,
378,E14000798,Louth and Horncastle,0.6942533714,NA,0.6942533714,,East Midlands,#VALUE!,
120,E14000842,North East Cambridgeshire,0.6944604007,NA,0.6944604007,,East of England,#VALUE!,
317,E14000751,Hornchurch and Upminster,0.6945280661,NA,0.6945280661,,London,#VALUE!,
296,E14000733,Hartlepool,0.6956832972,0.6956832972,0.6956832972,,North East,0,
175,E14000657,Dagenham and Rainham,0.6992601589,NA,0.6992601589,,London,#VALUE!,
205,E14000672,Dudley South,0.7015973437,NA,0.7015973437,,West Midlands,#VALUE!,
276,E14000716,Great Grimsby,0.7019353249,NA,0.7019353249,,Yorkshire and The Humber,#VALUE!,
571,E14000995,Thurrock,0.7025913649,NA,0.7025913649,,East of England,#VALUE!,
75,E14000577,Bolsover,0.7027221264,NA,0.7027221264,,East Midlands,#VALUE!,
19,E14000535,Ashfield,0.7057585002,NA,0.7057585002,,East Midlands,#VALUE!,
611,E14001028,Wentworth and Dearne,0.707029144,NA,0.707029144,,Yorkshire and The Humber,#VALUE!,
30,E14000542,Barnsley East,0.7077794137,NA,0.7077794137,,Yorkshire and The Humber,#VALUE!,
426,E14000836,"Normanton, Pontefract and Castleford",0.7082479334,NA,0.7082479334,,Yorkshire and The Humber,#VALUE!,
539,E14000974,Stoke-on-Trent South,0.7084797992,NA,0.7084797992,,West Midlands,#VALUE!,
390,E14000810,Mansfield,0.7086291353,0.7086291353,0.7086291353,,East Midlands,0,
152,E14000642,Clacton,0.7107657381,NA,0.7107657381,,East of England,#VALUE!,
520,E14000939,South Holland and The Deepings,0.7117795959,NA,0.7117795959,,East Midlands,#VALUE!,
277,E14000717,Great Yarmouth,0.7150494733,0.7150494733,0.7150494733,,East of England,0,
593,E14001011,Walsall North,0.7186128751,NA,0.7186128751,,West Midlands,#VALUE!,
196,E14000669,Doncaster North,0.7206050853,NA,0.7206050853,,Yorkshire and The Humber,#VALUE!,
538,E14000973,Stoke-on-Trent North,0.7212336987,NA,0.7212336987,,West Midlands,#VALUE!,
323,E14000771,Kingston upon Hull East,0.7263315426,NA,0.7263315426,,Yorkshire and The Humber,#VALUE!,
134,E14000622,Castle Point,0.7269939242,0.7269939242,0.7269939242,,East of England,0,
33,E14000933,South Basildon and East Thurrock,0.7307870602,NA,0.7307870602,,East of England,#VALUE!,
80,E14000582,Boston and Skegness,0.7496077813,NA,0.7496077813,,East Midlands,#VALUE!,